zip_code,1998,2001,2004,2005,2006,2007,2010,2011,2012,2013,2014,Total
20601,433388,528943,612853,645439,668446,703397,758051,768656,781967,787861,811719,7500720
20602,348017,397740,462102,475835,509938,547553,639590,667192,686028,695227,725015,6154237
20603,431102,563126,661844,702277,757255,819105,959395,988711,1013756,1044704,1075789,9017064
20606,6121,6872,7591,8517,7867,8675,9375,9799,9224,9282,9252,92575
20607,165562,207530,283660,301893,315711,346189,411954,434862,448623,460857,477009,3853850
20608,15968,18336,21330,21669,25159,26349,26895,26729,27064,26294,25119,260912
20609,18323,22617,23921,25532,28695,31472,33827,32964,34493,33481,36898,322223
20611,21718,26359,34491,36202,31797,33469,35928,36699,36236,33992,36019,362910
20613,170758,208618,288261,316151,345948,371622,448973,475215,487616,501550,520220,4134932
20615,7034,8506,12195,12201,13417,13726,13959,14344,14210,14464,16337,140393
20616,88733,111161,138697,147950,151541,156117,176017,181520,189252,191288,200658,1732934
20617,27720,32711,39490,40455,41575,44098,39412,39599,41707,44394,41579,432740
20618,11441,13662,15544,16696,16570,20434,20821,20608,20862,22672,22062,201372
20619,157949,183806,237778,251352,280270,327840,390251,406179,435224,435374,462994,3569017
20620,20233,27682,34506,35355,39953,41287,47322,48234,49484,47678,48677,440411
20621,22658,26948,34784,37123,40227,40373,42558,40641,41485,44010,46870,417677
20622,80013,96525,123731,131027,138512,142617,147161,150861,150426,152205,158578,1471656
20623,54389,74296,94180,100613,99171,106296,116135,115705,118030,118804,119696,1117315
20624,17896,23233,29855,27962,32505,35135,38654,38867,40692,41113,42927,368839
20626,6070,6432,7629,9045,8766,10950,14936,15039,13224,13365,14309,119765
20628,10644,12364,16879,19880,20438,21264,21347,21777,22758,25989,28753,222093
20630,8190,11362,15737,17771,17947,18931,26573,25109,27583,28963,27115,225281
20632,7598,9506,11251,11810,12220,13607,14186,14001,13080,15448,16047,138754
20634,90951,125792,159167,168740,182144,195434,227327,230373,231999,234505,237740,2084172
20636,164133,201130,257974,277549,287081,311140,365168,380177,404244,402600,413689,3464885
20637,89534,123080,163858,179198,186811,201703,209970,217555,225146,236937,231173,2064965
20639,302913,395169,480394,499712,558531,550723,572846,594215,629457,624644,644331,5852935
20640,139836,167196,199245,215411,230979,245927,266582,270668,267888,269517,272583,2545832
